Epoch,Training Loss,Validation Loss,Training accuracy,Validation Accuracy,Training f1 Score,Validation F1 Score,Dice Score
1,34.689496010541916,0.6671897619962692,0.8183034739465526,0.7924208532383116,0.8486949607809967,0.8315735929475536,0.4676901400089264
2,15.080387488007545,0.34993041058381397,0.9022905658465125,0.8959777260030803,0.9099130072016566,0.9059550337739868,0.5268701910972595
3,14.093478322029114,0.30497025698423386,0.9212784639268817,0.9215511362153131,0.923216077751806,0.9241120031837745,0.5101510882377625
4,13.634512342512608,0.23881428937117258,0.9427238302322261,0.9444651108152557,0.9372579109263576,0.9388907585631212,0.4674204885959625
5,13.122736722230911,0.2367384247481823,0.9435183555762348,0.9449615116036234,0.938295273204662,0.9398201910827215,0.4972660541534424
6,13.06740751862526,0.23559416830539703,0.944072086348832,0.9456687909520454,0.938634297092863,0.9402830570671878,0.4938369691371918
7,13.077406123280525,0.23465822140375772,0.9440122907961838,0.9457662763985695,0.9390145698923328,0.9409182969518903,0.5030689835548401
8,13.095262691378593,0.23430845886468887,0.9441366268490323,0.9455439769493826,0.9387515466815114,0.9402096469732903,0.49012139439582825
