Epoch,Training Loss,Validation Loss,Training accuracy,Validation Accuracy,Training f1 Score,Validation F1 Score,Dice Score
1,29.519824877381325,0.8812715361515681,0.6423283081967277,0.629447620539327,0.716327410834204,0.7077503116788205,0.4417804181575775
2,15.824585422873497,0.607352594534556,0.8250594896570571,0.8130331107891509,0.854879750585671,0.8470012087008977,0.42446935176849365
3,15.006424188613892,0.31099173923333484,0.9226128607758526,0.9180510415850889,0.9237618103272364,0.9197002856209802,0.540237307548523
4,14.805699720978737,0.28921836614608765,0.9302318294404827,0.9328839213459681,0.9246074695554605,0.9271109382283876,0.4798891842365265
5,14.695471376180649,0.2549996202190717,0.9434797058514164,0.9417139002010076,0.9385963283297152,0.9357646149251324,0.4922219216823578
6,14.262919783592224,0.24524678041537604,0.9448846595327137,0.9435498081290625,0.9398342130004974,0.9372443327251869,0.4925644099712372
7,14.153387874364853,0.24280758202075958,0.9450432549280079,0.9437708839115566,0.9401641387553704,0.9376344696641347,0.49807921051979065
8,14.210938513278961,0.24309677133957544,0.9449727635345933,0.9436452541310988,0.9401251630507889,0.9375589986973828,0.4977612793445587
9,14.184372618794441,0.24312302470207214,0.9452693107096783,0.9439715652491711,0.9403731017923399,0.9378142040350523,0.4989476501941681
10,14.128296911716461,0.2428287441531817,0.9450047939062668,0.9436126230192915,0.9403358521602605,0.9377774340264957,0.5035857558250427
11,14.093513064086437,0.24192860970894495,0.9453311596370787,0.944054366695382,0.9406872252379012,0.9381844892164737,0.5044901371002197
12,14.073898822069168,0.24114188800255457,0.9453985381043459,0.9441090238076592,0.9404086641183688,0.9378105788934068,0.49567580223083496
13,14.043379977345467,0.2413369541366895,0.9455644243003535,0.9442648373665388,0.9406593012150771,0.9380829616074978,0.49908629059791565
14,14.017984256148338,0.24023116876681647,0.9455718789392852,0.9442880870337014,0.9407831999659225,0.9382264689087293,0.5002853870391846
15,14.052276849746704,0.2400028333067894,0.9454640733916575,0.9442615742553581,0.9412041380482402,0.9387689353927906,0.5103799700737
16,14.00577586889267,0.24007291595141092,0.9455330902411075,0.9442750345889785,0.941114680162203,0.9386293535855111,0.5059224367141724
17,13.911432281136513,0.23834116011857986,0.9456039912300679,0.9443623228130629,0.9410515355009322,0.9385455675265526,0.5041126608848572
18,13.848890095949173,0.23828707387049994,0.9458540902702708,0.9445234389276111,0.9409228329744475,0.9382971714776567,0.49739813804626465
19,13.83963742852211,0.2382309709986051,0.9458783383265761,0.9445462807058762,0.9410257796102872,0.9384010853882437,0.49802684783935547
20,13.850874871015549,0.23701554040114084,0.9460026915342499,0.9447245281541232,0.9414465488751592,0.9388875333927426,0.5051416754722595
21,13.841717675328255,0.236876018345356,0.9460231303519802,0.9447657249327799,0.9416637084189401,0.9391512744938274,0.5087581276893616
