Epoch,Training Loss,Validation Loss,Training accuracy,Validation Accuracy,Training f1 Score,Validation F1 Score,Dice Score
1,80.92192563414574,0.2759072772012307,0.9339448949813405,0.9363505063344518,0.9332004373943833,0.9341862875268641,0.5365775227546692
2,62.80876187980175,0.25439228461338925,0.9410545725444501,0.9416393820370248,0.9359742002228082,0.9350796292960257,0.4999595284461975
3,60.7494593039155,0.2737018248209587,0.9408357666039385,0.9402157870322958,0.9317878988807465,0.9295775650564606,0.43447861075401306
4,60.66275627166033,0.26612522539037925,0.941902640121817,0.9412500677723091,0.9371977530391203,0.9353818455641919,0.49627918004989624
5,58.90175009518862,0.25039971648500514,0.942823615706318,0.9416307222419682,0.9357001819340942,0.9328278737144666,0.4548833668231964
6,57.11297255754471,0.24433608725667,0.9440884057918776,0.943048669554269,0.9377685915558835,0.9351404260873738,0.47345608472824097
7,56.64810914546251,0.24444739921734884,0.9442952925020095,0.9435987547967735,0.939163443379915,0.937121538349001,0.499378502368927
8,56.445516757667065,0.24295047126137292,0.9445360937233251,0.9437806104929607,0.9388259690812201,0.9366417743225092,0.489767849445343
9,56.20280562341213,0.24129485023709443,0.944214233543516,0.9435294764363211,0.9386945841239621,0.9366110371117427,0.493522047996521
10,56.435430496931076,0.24361916918020982,0.9446126471308159,0.9438668319306975,0.9392542858610787,0.9371235563008757,0.49349796772003174
