Epoch,Training Loss,Validation Loss,Training accuracy,Validation Accuracy,Training f1 Score,Validation F1 Score,Dice Score
1,50.28697852790356,0.23845747571725112,0.8959931643418569,0.8976035711488762,0.9037338596033223,0.9040924813707555,0.4850621521472931
2,31.407445535063744,0.20746245407141173,0.925214775520342,0.9193678952029254,0.9263318006976123,0.9206200710082663,0.5332866907119751
3,29.97993928194046,0.16848221650490394,0.9420598428922557,0.9421616053302168,0.9384266730570318,0.9369304256310319,0.49981454014778137
4,28.61079730093479,0.17877867703254408,0.9454998720423515,0.9418302740410971,0.9409303692064555,0.9362497412497268,0.48044389486312866
5,27.569906398653984,0.1621713529412563,0.9461606315766709,0.9447169978975524,0.9408532044728287,0.938015938146507,0.4854382574558258
6,27.322640672326088,0.16268400905223993,0.946521239495103,0.944935751850937,0.9410270556746405,0.9379698363934853,0.4780134856700897
7,27.355463415384293,0.16241086446321928,0.9466143405626402,0.9451142189316675,0.9415876250767895,0.9386434329029605,0.485979825258255
8,27.359589375555515,0.1657614100437898,0.9464087645582545,0.9446774640505551,0.9407143156967791,0.937437107103446,0.4709090292453766
9,27.302992343902588,0.16030666518669862,0.9466205664149347,0.9452523991397435,0.9416966799319778,0.938936522452087,0.48906269669532776
10,27.371855035424232,0.16616015881299973,0.946867388690772,0.945194039651319,0.9414998022985045,0.9384162206498353,0.47859105467796326
11,27.260688558220863,0.16299124635182893,0.946932227665656,0.9448073609764032,0.9427222676521949,0.9392847909194428,0.4996926784515381
12,27.22437423467636,0.16611625999212265,0.9468277398419486,0.9452915564739122,0.9412519440659963,0.938285676706254,0.4736274778842926
13,26.840684078633785,0.1636434501180282,0.9471462822978376,0.9454911082730411,0.9421271434898348,0.9390906612955734,0.4852333664894104
14,26.800706058740616,0.16637050532377684,0.9472047315822086,0.9446665451785273,0.9424560795563326,0.9384185994134193,0.4817720651626587
15,26.904614940285683,0.16314489680987138,0.9472207058084908,0.9452399742164015,0.9426654317547766,0.9392865503127531,0.49013277888298035
16,27.125736735761166,0.16136078937695578,0.9469270667617802,0.945645102019916,0.9420257062439539,0.939452187941221,0.4924211800098419
17,26.901764750480652,0.16140295106631058,0.947259617385332,0.9455852364801773,0.9426959632959828,0.9396364059139051,0.4933544397354126
18,26.770151674747467,0.16174104695136732,0.9474590904160868,0.9454647523750429,0.9431825632213042,0.9397850548954921,0.4947705864906311
19,26.738541156053543,0.16489673807070807,0.9475602195563195,0.9455332777098381,0.9428779058819751,0.9394213543236019,0.48680442571640015
20,26.58443247526884,0.16193515348892945,0.9476281304977963,0.9458435242805593,0.9430519843941464,0.9398462796896966,0.49104949831962585
21,26.988586090505123,0.16233938932418823,0.947454502945975,0.945882681614728,0.9423923999744028,0.9394333808136309,0.4849582314491272
22,26.675161510705948,0.16571484219569427,0.9476470538120074,0.9459489478725519,0.9424843443125678,0.9393746784879505,0.4800640344619751
23,26.534412756562233,0.1604385353051699,0.9476169894989532,0.9460016596685482,0.9427831155830442,0.9398210369154409,0.4889594316482544
24,26.30345243960619,0.15893405446639428,0.9478108101111773,0.9462403688018458,0.9436441735260866,0.940812435820658,0.5017029643058777
25,26.606307692825794,0.15942947967694357,0.9476000322433613,0.9460517358747447,0.9426454328211368,0.9397453956999816,0.4895598590373993
26,26.667237736284733,0.16083041234658316,0.9479696922233535,0.9464177063440905,0.9431945803226028,0.9403044147502028,0.49321192502975464
27,26.44503314048052,0.1573073984338687,0.9479479426998769,0.946450462960174,0.943356682631363,0.9405625136263044,0.4981991946697235
28,26.88644392043352,0.16071322273749572,0.9478029868362545,0.9457347120731098,0.9437476994128091,0.9403324001109705,0.4964492917060852
29,26.61822348088026,0.15835579198140365,0.9480586154163244,0.9465058103459701,0.9433474699619214,0.9404495596467568,0.4935612976551056
30,26.59681635349989,0.1677625316839952,0.9478351400865918,0.9462087417242481,0.9423583008203039,0.9393187492106377,0.4717370271682739
31,26.314065895974636,0.15825475580417192,0.9482267953473879,0.9466503912721315,0.9435419815837851,0.9406276759002615,0.49163681268692017
32,26.65914747864008,0.161017639705768,0.9480230215634032,0.9464369084983464,0.9429294185102092,0.9399959746433173,0.4841107726097107
33,26.425642110407352,0.16005823761224747,0.9482365027618208,0.9463559582402091,0.9435758895105242,0.9403611596094008,0.4896717965602875
34,26.264688536524773,0.15813781091800103,0.9483198554553703,0.9467878184545504,0.9437587842223036,0.9408959526897595,0.4929198920726776
35,26.28139241784811,0.15976373622050652,0.9483287027191574,0.9468804406103725,0.9435192082609485,0.9407053526968686,0.48937857151031494
36,26.629679523408413,0.15894883699142015,0.9482672633873027,0.9466432375283891,0.9439697909100037,0.9410471422682546,0.49544936418533325
37,26.302453130483627,0.1602597895723123,0.9483313241306498,0.9466594275800165,0.94330443667777,0.940212747513458,0.4849874675273895
38,26.290241099894047,0.15695098959482634,0.9484661629842935,0.9469538606119388,0.943775990900133,0.940951100085757,0.49498245120048523
